100kb name,genes,overlap_pct,gene,chrom_id,100kb bin
chr1-g32,"['Xkr4', 'Xkr4', 'Xkr4', 'Xkr4']","[0.42076, 1.0, 1.0, 1.0]",Xkr4,1,32
chr1-g33,"['Xkr4', 'Xkr4', 'Xkr4', 'Xkr4']","[1.0, 1.0, 1.0, 1.0]",Xkr4,1,33
chr1-g34,"['Xkr4', 'Xkr4', 'Xkr4', 'Xkr4']","[1.0, 1.0, 1.0, 1.0]",Xkr4,1,34
chr1-g35,"['Xkr4', 'Xkr4', 'Xkr4', 'Xkr4']","[1.0, 1.0, 1.0, 1.0]",Xkr4,1,35
chr1-g36,"['Xkr4', 'Xkr4', 'Xkr4']","[1.0, 1.0, 0.85992]",Xkr4,1,36
chr1-g64,['St18'],[0.5108],St18,1,64
chr1-g65,"['St18', 'St18', 'St18', 'St18']","[1.0, 1.0, 1.0, 1.0]",St18,1,65
chr1-g66,"['St18', 'St18', 'St18', 'St18']","[1.0, 1.0, 1.0, 1.0]",St18,1,66
chr1-g67,"['St18', 'St18', 'St18', 'St18']","[1.0, 1.0, 1.0, 1.0]",St18,1,67
chr1-g68,"['St18', 'St18', 'St18']","[1.0, 1.0, 0.4376]",St18,1,68
chr1-g83,"['Sntg1', 'Sntg1']","[0.61048, 1.0]",Sntg1,1,83
chr1-g84,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0]",Sntg1,1,84
chr1-g85,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0]",Sntg1,1,85
chr1-g86,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0]",Sntg1,1,86
chr1-g87,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0]",Sntg1,1,87
chr1-g88,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0]",Sntg1,1,88
chr1-g89,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0]",Sntg1,1,89
chr1-g90,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0]",Sntg1,1,90
chr1-g91,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0]",Sntg1,1,91
chr1-g92,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 0.99508]",Sntg1,1,92
chr1-g103,"['Cpa6', 'Cpa6', 'Cpa6', 'Cpa6']","[0.01128, 1.0, 1.0, 1.0]",Cpa6,1,103
chr1-g104,"['Cpa6', 'Cpa6', 'Cpa6', 'Cpa6']","[1.0, 1.0, 1.0, 1.0]",Cpa6,1,104
chr1-g105,"['Cpa6', 'Cpa6', 'Cpa6', 'Cpa6']","[1.0, 1.0, 1.0, 1.0]",Cpa6,1,105
chr1-g106,"['Cpa6', 'Cpa6', 'Cpa6', 'Cpa6']","[1.0, 1.0, 1.0, 1.0]",Cpa6,1,106
chr1-g107,['Cpa6'],[0.7978],Cpa6,1,107
chr1-g109,['Prex2'],[0.26144],Prex2,1,109
chr1-g110,"['Prex2', 'Prex2', 'Prex2', 'Prex2']","[1.0, 1.0, 1.0, 1.0]",Prex2,1,110
chr1-g111,"['Prex2', 'Prex2', 'Prex2', 'Prex2']","[1.0, 1.0, 1.0, 1.0]",Prex2,1,111
chr1-g112,"['Prex2', 'Prex2', 'Prex2', 'Prex2']","[1.0, 1.0, 1.0, 1.0]",Prex2,1,112
chr1-g113,['Prex2'],[0.14728],Prex2,1,113
chr1-g131,"['Ncoa2', 'Ncoa2', 'Ncoa2']","[0.43584, 1.0, 1.0]",Ncoa2,1,131
chr1-g132,"['Ncoa2', 'Ncoa2', 'Ncoa2', 'Ncoa2']","[1.0, 1.0, 1.0, 1.0]",Ncoa2,1,132
chr1-g133,"['Ncoa2', 'Ncoa2', 'Ncoa2']","[1.0, 1.0, 0.96332]",Ncoa2,1,133
chr1-g152,['Kcnb2'],[0.52304],Kcnb2,1,152
chr1-g153,"['Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2']","[1.0, 1.0, 1.0, 1.0]",Kcnb2,1,153
chr1-g154,"['Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2']","[1.0, 1.0, 1.0, 1.0]",Kcnb2,1,154
chr1-g155,"['Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2']","[1.0, 1.0, 1.0, 1.0]",Kcnb2,1,155
chr1-g156,"['Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2']","[1.0, 1.0, 1.0, 1.0]",Kcnb2,1,156
chr1-g157,['Kcnb2'],[0.95],Kcnb2,1,157
chr1-g162,"['Stau2', 'Stau2', 'Stau2']","[0.84764, 1.0, 1.0]",Stau2,1,162
chr1-g163,"['Stau2', 'Stau2', 'Stau2', 'Stau2']","[1.0, 1.0, 1.0, 1.0]",Stau2,1,163
chr1-g164,"['Stau2', 'Stau2', 'Stau2', 'Stau2']","[1.0, 1.0, 1.0, 1.0]",Stau2,1,164
chr1-g165,['Stau2'],[0.77208],Stau2,1,165
