fov,cellID,rep,dbscan_ldp_nbr_allele,chr13-g279,chr13-g280,chr13-g281,chr13-g282,chr13-g283,chr13-g284,chr13-g285,chr13-g286,chr13-g287,chr13-g288,chr13-g289,chr13-g290,chr13-g291,chr13-g292,chr13-g293,chr13-g294,chr13-g295,chr13-g296,chr13-g297,chr13-g298,chr13-g299,chr13-g300,chr13-g301,chr13-g302,chr13-g303,chr13-g304,chr13-g305,chr13-g306,chr13-g307,chr13-g308,chr13-g309,chr13-g310,chr13-g311,chr13-g312,chr13-g313,chr13-g314,chr13-g315,chr13-g316,chr13-g317,chr13-g318,chr13-g319,chr13-g320,chr13-g321,chr13-g322,chr13-g323,chr13-g324,chr13-g325,chr13-g326,chr13-g327,chr13-g331,chr13-g332,chr13-g333,chr13-g334,chr13-g335,chr13-g336,chr13-g337,chr13-g338,chr13-g339
1,53,1,2,,,,,,,0.22929,,,0.0583595,-0.0008953333333333267,-0.409985,,-0.085221,,,,,,,,,0.8446299999999999,,0.8651399999999999,-0.003175,,0.36603,1.0497333333333334,,,,,,,,-0.8783299999999999,,,,,,,,,,,,,,,,-1.1894,,,,,-1.0834
1,53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46126,,,,,,-1.2407,-1.2817,,,,-1.076625,,,,,,,,,,,,,,,,-0.95353,,
0,27,2,1,,,,,,,0.172,,,,,,,,-0.90405,-0.45841,-0.73558,-0.81347,,-0.7247066666666666,,,,-0.96383,-0.92579,,-0.41493850000000004,-0.018213,0.55785,,,,,,,,,,,,,,,,,,,,,,,,,-0.8605700000000001,,,,
1,942,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19664,,,,,,,,,,,,,-0.22497499999999995,0.030057,-0.15413,-0.23914,,,,,,,,,,,-0.19664,0.4126,,,
1,942,2,1,,,,,,,,,,,-0.3383199999999999,-0.260395,,,,,,0.030057,,0.75265,,,,,,,,,,,0.9085,,,,,,,-0.6783600000000001,,-0.42333,,,-0.65003,,,,,,,,,,,,,,,
0,55,2,1,,,,,,,,,,,-0.82631,-0.57816,-0.82728,-0.67742,,,,-1.0277,,-0.96936,-1.0161,-0.94016,-1.01025,,,,,-1.1679,,,-1.3664,-1.1036,,,,-1.1328,,,,,,,,,,,,,,,,,,,,,,
1,142,2,2,,,,,,,,-1.3056,,,,-0.87755,,,-1.2512,,,,,,,,-0.95908,,-1.0882,-1.00663,,,,,,,,-0.83678,-0.97267,-0.7076899999999999,-0.959085,-1.060975,-1.1901000000000002,-1.2376,-1.2241,-0.99985,,,,,,,,,,,,,,,,
2,210,2,4,,,,,,,,-1.1752,,,,,,,,,,-1.164,,,,-0.95147,-1.01296,-1.164,,-1.0409,,,,,-0.95147,-0.94028,,,-0.29155,-0.95147,,-0.023108,0.1223,,,-0.09767333333333333,-0.66065,-0.60473,,,,,,,,,,,,,,
0,116,1,2,0.60218,0.778554,1.8275,-0.288946,,1.7254,0.77855,0.88994,,,,-0.2332519999999999,,,-0.46840666666666664,-0.48388,0.79711,0.091638,,,,,-0.08473,,,1.4283,0.29585,,,,,,-0.2239699999999999,,,-0.39105,,,0.13495566666666667,,0.5836100000000001,,0.026661,,0.1102,-0.121861,-0.3136999999999999,1.7996,,-0.32608,,,,-0.15280233333333335,-0.17384,-0.2054033333333333,0.0607,
0,750,1,1,,,,,,,,,,,,,,,,,0.9523,,,,,,,,,,,,,,,,,,-0.1055099999999999,,,,,,,-0.6139100000000001,,,,,0.050295,0.078995,,,,,,,,,,
0,37,1,1,,,,,1.03163,,-0.73998,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.54314,,-0.08836000000000005,1.64593,0.25103,-0.53635,,-0.70605,-1.1608,,,,-0.2309,,,,,,,,,,,
1,94,1,3,,,,,,,,-0.517475,-0.38835,,-0.772135,-0.27537049999999996,-0.71355,,,,,,,,,,,,,,,0.71637,1.0177,-0.008157,0.2429199999999999,0.53703,0.34334,,-0.13728200000000002,0.27161,,,-0.21259999999999996,,0.06716600000000005,-0.5581200000000001,-0.50313,-0.033266000000000004,-0.16597,,,,,0.62311,,,,,0.7378899999999999,-0.47443,,
2,181,2,3,,,,,,,,-1.1082,,,,,-1.0699,-1.0507,-0.93573,,,,,,,-0.7441,,-0.88782,,-0.88782,,,,,,,,,,-0.90699,-0.89741,,,,-0.90699,,,,,,,,,,,,,,,,,
2,636,2,2,,,,,,,-0.40829,,,,-0.82716,,-0.73659,,,,,-0.11961,,,,,,,,,,,,,,,,,-0.96301,-1.0536,,,,,,,,,-0.97433,-1.042265,,,,,,,-1.0196,,-0.96301,-1.1271499999999999,,-1.1290666666666667
1,194,1,1,,,,,,,,0.41096,0.025775,0.12849000000000002,1.01282,,0.5554100000000001,-0.0031149999999999,-0.41478499999999996,0.27615,,,0.276145,,,,,,,,,,,1.1139,,,1.0658,,0.97912,,,,,,-1.1779,,-0.8794200000000001,,-0.17645,,-1.0431,,,,0.5939300000000001,2.3562,,,0.38689000000000007,,,
2,230,2,2,,-0.4844699999999999,,,,,,-0.68948,-0.5170133333333333,-0.61626,,-0.504,,-0.552805,,,,-0.8456799999999999,-0.8847200000000001,,,,,,,,-1.0409,,,-1.0312,,,,-0.96282,,,,,,,,-0.51376,-0.21113,,-0.74805,,,,,,,,,-1.0067599999999999,-1.0213999999999999,-0.709,,-0.66995
0,116,1,1,,,,,,,,,,,,-0.10329,,,,,,,,,,,,,,-0.98513,-0.95729,,,,-0.78092,-0.81805,-0.74379,,-0.78092,,,,,,-0.12186,,0.695,,,,,,,,,,1.3169,,,,0.1102,
1,36,1,2,,,,-0.60915,-0.5431,,,,,,-0.365585,,,,0.059624,,,,,,,,-0.74125,,,,,-1.13483,-0.8155600000000001,,,-0.7247399999999999,-0.60915,-0.90638,-0.893995,,-1.0963,-1.0715,,,,,-0.9972,1.199,-0.080735,,,,,,,,-0.52658,-0.6174,-0.4109899999999999,,,
1,84,1,2,,,,,,,,0.78408,-0.4868399999999999,-0.4868399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6017600000000001,,,,,,,-0.88569,,-0.2029099999999999,,,,,,,,,,,,,
2,584,2,2,,,,-0.93394,,,-0.71578,-0.73503,-0.818445,-0.71578,-0.36929,-0.5446733333333333,,,,,-0.17679,,,,-0.30512,0.0542029999999999,-0.81844,,,,,,,-0.295499,0.5354525,,-0.15113,,,,-1.2291,-0.7671100000000001,,,1.221995,-0.9660099999999999,-0.606695,0.56752,,0.4007,1.8508,,,,,,,,,1.299,0.99102,0.028535000000000005
0,620,2,1,,,-0.30867,-0.3369,-0.15341,,,,,,-0.07225000000000004,0.079485,,,,,,,0.06537,,,,,,,0.36178,0.64408,,,0.6934775,1.1452,0.43586,0.326495,0.72173,0.9277940000000001,0.70053,0.48528499999999997,,,,,,,0.5593899999999999,,,2.1685,,,,0.8981399999999999,,,,0.49587,0.33355,1.226285,
2,210,2,3,1.554,2.4264,2.9297,,,,,,0.7151,1.2744,,,,0.077558,0.30126,0.345995,,1.7329,1.1066,0.021633,,,,,1.2967,0.46902999999999995,,,,0.39819599999999994,0.3404065,0.25652,0.8828799999999999,,0.33108,0.17822,,,0.16704,,0.45785,-0.97944,-0.38662100000000005,-0.25799,,-0.44440999999999997,,-0.8508,,,,,,,,,,
2,730,2,2,,,,,,,,,,,,,,,,-0.91208,-0.9324925000000001,-0.57184,-1.1162,,,,-0.8984700000000001,,,,-0.78959,-0.7079300000000001,-0.6126699999999999,-1.2115,,,-0.6126699999999999,-0.69433,-1.2523,-1.2523,,-1.0754,,-0.63989,-1.2659,-1.2523,,,,,,,,,,,,,,,,
1,189,2,1,-0.15229,,1.1436250000000001,0.580715,,0.47947,0.57262075,0.66172,0.3944225,1.0788,-0.966275,,,-0.071292,,,,-0.33857,0.17979,-0.046994,,-0.33857,,2.0966733333333334,,,3.7921,,,1.092995,,,,2.4233,0.18789,1.9941,1.2408,,-0.15229,,,,,,,,0.80345,,0.54427,,,,0.13929,0.034,0.19329133333333334,,2.0346,0.03400049999999995
3,157,2,2,,-0.92139,,,-0.72496,,-0.19176500000000002,,0.10289500000000001,-0.33207999999999993,,,,,-0.22918,,,-0.495775,,-0.42562,,,,,1.033615,,0.98686,1.4872999999999998,,2.3853,2.0907,,,,,0.8418749999999999,1.0991,1.651,,0.94945,,,,0.37884,,,,,,,,,0.051444,,-0.17773450000000002,,-0.088869,
2,80,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6971,,-0.18412233333333328,-0.03593024999999997,0.44254999999999994,-0.17155,0.6773806666666666,0.08463571428571429,-0.34487,-0.476735,,0.001746,-0.20924,,-0.39762,-0.24691,0.051978000000000024,-0.582225,,,-0.35994,,-0.57092,,,,0.009279999999999983,0.001746,-0.337335,0.009281000000000001,
2,172,2,1,-0.31232,,,,-0.12866,-0.42455,-0.434755,-0.52659,-0.06403666666666667,0.46313,-0.41945,-0.31232,,0.89166,,-0.34293,,,,,,0.28967,,,,-0.36333,,,,-0.100602,0.13662366666666667,-0.067442,,0.090708,0.29988,0.46313,0.3713,0.3815,,,,,,,1.5753,1.7334,,,,,,,,,,,-0.14907,
3,718,2,1,-0.8866799999999999,,,-0.18607,,,,-0.06454099999999995,-0.41484499999999996,-0.8866799999999999,-0.40055,0.06652333333333336,-0.48633499999999996,,,,,0.2428699999999999,0.32865,,,-0.11458500000000005,1.1150499999999999,-0.42199,,,1.1722,,0.018863333333333343,0.006949999999999956,-0.3540775,0.14278,0.66466,-0.6185925,-0.36622999999999994,-0.60072,-0.7246333333333332,-0.91528,0.18566333333333337,,,-0.62455,-0.8437899999999999,-0.4934854999999999,,-0.91528,,,,,,,,,,1.36525,0.99353,1.7299
1,831,1,1,,,,,,,,,,-0.54174,,,,,,,,,,,,,,,,,,,,,,,,-0.69499,,,,,,,-0.65413,,-0.17394,,,,,,,,,,,-0.24545899999999995,-0.44468499999999994,,-0.71543,
2,770,2,1,,-0.27176,,,,,-0.23735,,,,,,-0.30617,,,,,,-0.67319,,,,,0.19849,,1.4601,1.3799,1.04148,-0.40939,0.6228600000000001,-0.35205,,,,-0.18,0.382,-0.21441,,0.445085,0.53493,,0.74615,,0.57699,,,3.0085,,,,,,-0.1685299999999999,0.12967,0.22143,,0.61139,
3,455,2,1,,,,,,,,-0.59039,,,,,,,-0.4266899999999999,-0.6231300000000001,,,-0.69407,-0.87415,,-0.0992789999999999,-0.39395,-0.6231300000000001,,1.2649,,,,0.4791399999999999,,-0.72136,0.5555399999999999,-0.30664,-0.0992789999999999,,,,0.5555399999999999,,1.6742000000000001,1.3521999999999998,1.887,,0.95388,-0.6777,,,,,,-0.87415,-0.13564999999999997,0.926585,-1.06515,,-0.31207000000000007,-1.2343
0,149,2,1,,,,-0.69494,-0.69494,-0.78925,-0.80273,,,0.1134299999999999,-0.91725,-0.94419,,,,,,,,,,,,0.22794,,,0.1134299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.56695,,,
0,275,1,1,-0.17523,,,,-0.35439,,-0.15373,,0.8710899999999999,,,1.7096,,,0.41242999999999996,0.2332699999999999,0.12577,0.128154,0.32643,,0.1544299999999999,2.3116,1.9246,,-0.13223,-0.83455,-0.85605,-0.465475,,-0.497725,-0.6553899999999999,-0.6948050000000001,-0.791555,-0.1214805,,,0.39093,,,1.293915,,0.6632499999999999,,,0.46617525,0.419595,,,,,,,0.76718,0.691925,0.2046,0.28343,0.505595,0.65609
0,310,1,2,,,,,,,,-0.0857309999999999,,-0.2072099999999999,-0.48052500000000004,0.58238,0.58238,,,,,,,,,3.8757,1.8444,3.3358,5.7282,,,4.2401,,0.6948666666666666,1.6301,1.1020204,1.171195,0.65662,0.902955,,2.3843,-0.2949405,-0.45691,,0.40692,,-0.55813,-0.35567799999999994,-0.11273,,2.1548,3.7745,,,,,,,,,,
0,164,1,2,,,,,,,,,,,,-0.704,,,,,,,,,-0.36913,,,,1.3638,0.31734199999999996,0.4512899999999999,,0.61035,0.041079,,0.015964,-0.16821,-0.31053,-0.71237,-0.96352,-0.8588799999999999,,,,,,,-0.56168,0.10805,,-0.28542,-0.084496,,,,,,0.61035,,0.082937,,
0,544,1,2,,,,,,,0.043344,,,,-0.35878,,-0.70657,-0.23923,,,,,,,,,,-0.7609100000000001,-0.820685,,,,,,-0.8261166666666666,-0.70657,,-0.505505,-0.2501,-0.9348,,,,,-0.000129,,,,,,,,,,,,,,,,,
0,613,1,1,,,,,,,,,0.4784199999999999,,,,,,,0.16959000000000002,0.21711,0.7318100000000001,0.16168,0.58136,,,,,,,,,,,,0.811,,-0.17882,,,,,-0.5932266666666667,-0.66977,,-0.81231,-0.2976,,,,,,,,,,,,,1.6662,,
