fov,cellID,rep,dbscan_ldp_nbr_allele,chr13-g279,chr13-g280,chr13-g281,chr13-g282,chr13-g283,chr13-g284,chr13-g285,chr13-g286,chr13-g287,chr13-g288,chr13-g289,chr13-g290,chr13-g291,chr13-g292,chr13-g293,chr13-g294,chr13-g295,chr13-g296,chr13-g297,chr13-g298,chr13-g299,chr13-g300,chr13-g301,chr13-g302,chr13-g303,chr13-g304,chr13-g305,chr13-g306,chr13-g307,chr13-g308,chr13-g309,chr13-g310,chr13-g311,chr13-g312,chr13-g313,chr13-g314,chr13-g315,chr13-g316,chr13-g317,chr13-g318,chr13-g319,chr13-g320,chr13-g321,chr13-g322,chr13-g323,chr13-g324,chr13-g325,chr13-g326,chr13-g327,chr13-g331,chr13-g332,chr13-g333,chr13-g334,chr13-g335,chr13-g336,chr13-g337,chr13-g338,chr13-g339
1,53,1,2,,,,,,,-0.72712,,,-0.73175,-0.69164,-0.5015000000000001,,-0.82894,,,,,,,,,-0.8752200000000001,,-0.72018,-0.71324,,-0.75258,-0.7957733333333333,,,,,,,,-0.24117,,,,,,,,,,,,,,,,-0.529265,,,,,-0.74795
1,53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6415,,,,,,-0.41241,-0.3730699999999999,,,,-0.50844,,,,,,,,,,,,,,,,-0.6739,,
0,27,2,1,,,,,,,0.14687,,,,,,,,-0.050162,-0.16327,0.035583,-0.041039666666666634,,-0.14016166666666666,,,,1.229625,0.8912100000000001,,-0.13682000000000002,-0.5172,-0.57375,,,,,,,,,,,,,,,,,,,,,,,,,-0.050162,,,,
1,942,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3874,,,,,,,,,,,,,-0.25962499999999994,-0.1683599999999999,-0.21399,-0.36002,,,,,,,,,,,-0.0497089999999999,-0.031456,,,
1,942,2,1,,,,,,,,,,,1.1459,0.835575,,,,,,0.8355799999999999,,0.99986,,,,,,,,,,,-0.18661,,,,,,,-0.0223289999999999,,0.3975,,,-0.0497089999999999,,,,,,,,,,,,,,,
0,55,2,1,,,,,,,,,,,-0.53648,-0.5292399999999999,-0.40539,-0.4825899999999999,,,,0.10126,,-0.075662,-6.6e-05,0.038536,0.18812199999999998,,,,,0.51946,,,-0.4150399999999999,-0.34749,,,,-0.3507,,,,,,,,,,,,,,,,,,,,,,
1,142,2,2,,,,,,,,-0.32056,,,,-0.2094099999999999,,,-0.25264,,,,,,,,0.07462,,0.0709159999999999,0.12092999999999995,,,,,,,,-0.20077,-0.080981,-0.14149,-0.13470249999999998,-0.13778749999999995,-0.2112655,-0.27239,-0.2464599999999999,-0.13038,,,,,,,,,,,,,,,,
2,210,2,4,,,,,,,,-0.53868,,,,,,,,,,-0.54874,,,,-0.28723,-0.1896625,-0.04181,,-0.098135,,,,,-0.21883,-0.23694,,,0.46713,-0.21883,,-0.30332,-0.32746,,,-0.037788999999999996,-0.32545,-0.21883,,,,,,,,,,,,,,
0,116,1,2,0.078701,0.09018250000000001,0.63837,0.35279499999999997,,0.37719,0.70438,0.59819,,,,1.002865,,,3.9141,4.7914,-0.30015,0.064351,,,,,1.1866,,,-0.39199,0.11888,,,,,,0.03852,,,0.78474,,,0.33509666666666665,,0.68142,,0.70438,,1.3702,1.15786,2.37381,-0.22553,,2.9373,,,,3.4156766666666667,3.8804280000000007,3.7313666666666663,2.96411,
0,750,1,1,,,,,,,,,,,,,,,,,0.69728,,,,,,,,,,,,,,,,,,0.22595,,,,,,,-0.6493899999999999,,,,,0.2622,0.039484999999999965,,,,,,,,,,
