fov,cellID,rep,dbscan_ldp_nbr_allele,chr12-g78,chr12-g79,chr12-g80,chr12-g81,chr12-g82,chr12-g83,chr12-g84,chr12-g85,chr12-g86,chr12-g87,chr12-g88,chr12-g89,chr12-g90,chr12-g103,chr12-g104,chr12-g105,chr12-g106,chr12-g107,chr12-g108,chr12-g109,chr12-g110,chr12-g111,chr12-g121,chr12-g122,chr12-g123,chr12-g124,chr12-g125,chr12-g126,chr12-g127,chr12-g128,chr12-g129,chr12-g130,chr12-g131,chr12-g132,chr12-g133
2,118,1,1,,,,,,,,,,,,,,-1.083,,,,,,,,,,,,,,,,,,,,,
1,81,1,2,,,0.26409,,,,,,,,,,,,,,-0.16559,,,,,,,,,,,,,,,,,,
0,275,1,1,,,,,,,0.07128,,,0.1787,,,,,,-0.036136,,,,,,,,,,,,,,,,,,,
0,648,2,1,,,,,0.4756399999999999,-0.16022,,,-0.36409,0.2620699999999999,,,,-0.58737,,-0.0437279999999999,1.679415,-0.8689,,-0.077705,,,,,,,0.98531,,,,,,,,
0,406,1,2,,0.3574199999999999,0.069025,-0.060412,0.3884566666666667,,0.17121,,,,,,,,0.084921,,,,,,,,,,,0.60721,0.18710666666666667,0.33925,,0.610615,0.47323,,,,
1,663,1,1,,,,,,,,,,,,,,,,,0.10853,,,,,,,,,,,,,,,,,,
0,406,1,1,,,,,0.95919,,1.2930249999999999,,2.8145,,1.332735,,,,,,0.1507765,,,,,,-0.3261,-0.30112,-0.28068,,,-0.31475,-0.40558,,-0.22769666666666666,-0.3806,-0.4351,,
3,741,2,1,-0.17696066666666663,-0.24650666666666665,-0.04378666666666667,-0.23763,-0.1777,0.4793105,,0.088646,-0.110005,-0.1222095,-0.040088,,,,,,0.17077,,,5.551,0.8899,,,2.3401500000000004,0.3827335,0.31282,0.439776,1.2095,0.29173499999999997,,,0.0553525,,,
1,142,2,1,0.11537,-0.0076264,-0.07439266666666666,-0.0235565,,,0.073385,0.1092,,,0.048687,,,,,,0.26603,,,,,,,1.2898,-0.038993,,,-0.055047,,,-0.00812,,0.14378,0.054243999999999945,
3,937,2,1,,,,,,,,,,,,,,,,,,,0.27325,,,,,,,,,,,,,,,,
