fov,cellID,rep,dbscan_ldp_nbr_allele,chr12-g78,chr12-g79,chr12-g80,chr12-g81,chr12-g82,chr12-g83,chr12-g84,chr12-g85,chr12-g86,chr12-g87,chr12-g88,chr12-g89,chr12-g90,chr12-g103,chr12-g104,chr12-g105,chr12-g106,chr12-g107,chr12-g108,chr12-g109,chr12-g110,chr12-g111,chr12-g121,chr12-g122,chr12-g123,chr12-g124,chr12-g125,chr12-g126,chr12-g127,chr12-g128,chr12-g129,chr12-g130,chr12-g131,chr12-g132,chr12-g133
2,118,1,1,,,,,,,,,,,,,,-0.8717,,,,,,,,,,,,,,,,,,,,,
1,81,1,2,,,-0.3372699999999999,,,,,,,,,,,,,,-0.22059,,,,,,,,,,,,,,,,,,
0,275,1,1,,,,,,,-1.0496,,,-0.76289,,,,,,-0.26123,,,,,,,,,,,,,,,,,,,
0,648,2,1,,,,,-1.0054,-0.8447,,,-0.9005799999999999,-0.9005799999999999,,,,-0.39064,,-0.64212,-0.6176699999999999,-0.7259399999999999,,-0.69102,,,,,,,-0.2090199999999999,,,,,,,,
0,406,1,2,,0.96712,0.62053,1.5247,0.9244266666666666,,0.4472399999999999,,,,,,,,-0.37404,,,,,,,,,,,-0.4870574999999999,-0.7306733333333333,-0.7055600000000001,,-0.44562,-0.6904899999999999,,,,
1,663,1,1,,,,,,,,,,,,,,,,,0.9453,,,,,,,,,,,,,,,,,,
0,406,1,1,,,,,0.37942,,-0.532265,,-0.84872,,-0.419245,,,,,,-0.80728,,,,,,-0.5322600000000001,-0.374035,-0.32883,,,-0.012376,-0.13293,,0.91689,-0.080187,0.13832,,
3,741,2,1,-0.4317,-0.3224066666666667,-0.35737966666666665,-0.6022,-0.012009999999999993,-0.05791500000000005,,-0.24809,-0.871065,-0.6743349999999999,-0.78581,,,,,,-0.75958,,,-0.51039,-0.56285,,,-0.3582536,-0.54318,-0.72024,-0.47629200000000005,-0.35301,-0.54974,,,-1.074365,,,
1,142,2,1,0.48131,0.9446679999999998,1.1901833333333334,1.74165,,,0.8821700000000001,0.7598699999999999,,,0.6036,,,,,,-0.7280800000000001,,,,,,,-0.9319,0.25709,,,0.1551799999999999,,,0.195945,,0.14159,-0.320415,
3,937,2,1,,,,,,,,,,,,,,,,,,,-0.75631,,,,,,,,,,,,,,,,
0,99,2,2,,,,,,,,,,,,,,,,0.52386,,0.30881,,,,,,,,,,,,,,,,,
0,190,1,2,,,,0.22407499999999997,0.73318,,,-0.522315,,,,,,,,-0.77687,,,,,,,,,,,,,0.57786,0.57786,,,,,
2,841,2,2,0.66173,,0.12274249999999999,,0.61973,0.15774,-0.055752500000000024,0.75972,0.8717299999999999,,0.3369354,-0.13625,,-0.71024,,,,-0.29025,,,,,,,,-0.36725,,,,,,,,,
2,43,2,1,-0.61234,-0.046456,-0.31545,-0.30094,-0.15249333333333334,-0.59895,-0.3210299999999999,-0.33776999999999996,-0.33777,-0.10505475,,-0.2842,-0.43153,-0.71949,,-2.7353,,,,,,,,,,,,,,,-0.1502825,0.7253499999999999,,-2.7353,1.2092
0,544,1,1,1.0106,-1.0,,,,,,1.804,,-0.35878,-0.30444,,,,,0.4563399999999999,,,0.021608,,,,,,,,,,,,,,,,
2,244,2,1,-0.64504,-0.40879,-0.20655166666666666,-0.44101,,,-0.929645,-1.1283,-0.8741233333333334,-1.11755,,,,,,,-0.9672,,,-0.32289,-0.6987399999999999,,,-0.47323,,-0.20475949999999998,,-0.97794,-0.43027,,-0.473225,,-0.5806100000000001,,
2,808,2,1,,1.421,,,,1.0144549999999999,1.6415,,,0.669865,,,,,,,-0.21909999999999996,,,-1.3631,,,,,,,,,,-1.4182,,,,,
0,18,2,1,-0.382565,-0.26026499999999997,-0.076825,,0.30294,1.9958,-0.14118999999999998,-0.5810299999999999,0.86292,,-0.50164,,,,,-0.89106,-0.98439,,-0.8620899999999999,-0.817035,-0.93933,,,-0.50808,-0.21843,-0.6400300000000001,-0.67543,-0.5885349999999999,,,-0.64003,,-0.77842,-0.22701333333333337,-0.53704
1,84,1,1,-0.08798600000000001,-0.38543,0.24326666666666666,0.13059733333333332,0.34804999999999997,-0.24008000000000002,-0.25699,0.530575,,0.55424,,,-0.6964,,,,,-0.58148,,,,,,,,,,,,-0.91273,-0.5544399999999999,,,1.0883,
2,578,2,1,1.0965,0.60353,1.3575,0.8016966666666666,-0.26648,0.87903,,0.60353,-0.744985,-0.99149,,,,,1.5895,,-0.11180899999999999,,,,,,,0.11052,-0.5057339999999999,-0.40061175,-0.8174899999999999,,,-1.0495,,0.009023,-1.2235,-0.12147666666666666,
1,194,1,1,3.5214,1.3290166666666667,,1.2969,-0.46534,,,,,,-0.629045,,,0.89245,,,,,,,,,,0.228,0.24003750000000001,,,,,-0.089782,,,,,
2,569,2,2,-0.98974,,,-0.6854600000000001,,,,,,,,,,-1.3305,,-1.3914,-1.3123,,,,,-1.2819,,,-0.73415,-1.3671,-1.2636,-1.2332,,-1.300095,-1.0141,,,,
0,310,1,1,-0.2139599999999999,,,0.23145,-1.4894,,0.008749,-0.058737,,0.65662,,,,-1.01369,,-0.65262,-0.564885,-1.1655,-1.2802,,,,,-0.031743,0.2989400000000001,,,,0.2584466666666667,,,,,,-0.517645
3,157,2,1,-0.4973366666666666,,-0.2666,,-0.41627,-0.57529,-0.72028,,-1.5138133333333332,-0.34143,,,,,,0.24788,0.4505573333333333,-0.14187333333333338,,-0.070161,,-0.45368,,0.6430975,0.69221325,,,0.59399,0.22917533333333337,-0.17306,0.34765666666666667,0.2834374,,,0.8559100000000001
2,172,2,1,0.310081,-0.2511005,-0.5793050000000001,-0.70004,-0.08104499999999999,,0.2692566666666667,0.32538449999999997,0.25906,0.9120550000000001,0.12132000000000001,,-0.46537,-0.5776,0.17744,-0.13376500000000002,0.49628,-0.36333,,-0.46536500000000003,-0.31232,,,0.208049,,,-0.36333,,,,,0.8243242000000001,1.87115,1.8507850000000001,
0,215,1,2,,-0.34569,-0.4105,,0.39605,0.6841,,,,-0.64094,,,,,,-1.1666,,,,,,,,-0.20886,,,,,,,,-0.28087666666666666,,0.05038499999999999,
0,215,1,1,,,0.50407,,,0.18721,,,0.086392,,,,,,,0.226815,-2.4e-05,0.78492,,-0.050433,,,,,-0.77056,,,-0.21966499999999997,,,,,,,0.11519666666666666
1,137,1,2,1.1455,0.15689000000000003,,,1.0474,,1.652,,,,,,,,,-1.0931,,-1.0032,,,,,,,,,,,,0.43467,0.459185,-0.014672,-0.10454,0.88402,0.67977
1,142,2,2,-0.36798,-0.80281,-0.7144849999999999,,-0.71109,-0.7076899999999999,-0.6533399999999999,-0.8934033333333334,-0.7348699999999999,-0.4970699999999999,-0.67372,,,-0.7331599999999999,-0.93528,-0.680515,,-0.7756349999999999,,-0.5400999999999999,,-0.11999000000000004,,,,0.005706,,,-0.18453,,,1.8334,,,
2,591,2,1,,,,,-0.820535,,,-1.3542,-1.6559,-1.513725,-1.6559,,,,,-1.59785,,-1.7835,-1.59785,,,,,,,-1.2962,,,-0.5594899999999999,,,,-1.3194,,-0.9558866666666667
0,620,2,1,,,0.66525,,0.0230259999999999,-0.15341,-0.14635,,,,-0.77446,,,0.4747,-0.23808680000000004,,0.25592,0.45353,-1.1626,,-1.1485,,,,-0.012261,,,0.46411499999999994,-0.15341,0.29473499999999997,1.2298266666666666,0.15476333333333334,,0.7217100000000001,
2,80,2,1,0.83814,-0.26763499999999996,0.23533000000000004,-0.39762,0.7853950000000001,,-0.42776,-0.11882,-0.16403,-0.011442499999999967,-0.33481999999999995,,-0.42776,-0.5407850000000001,-0.71409,-0.5784600000000001,-0.7793966666666666,-1.4550433333333335,-0.4126899999999999,,,,,,,0.4814766666666667,-0.431525,-0.31472999999999995,,,-0.20924,0.6095830000000001,,,0.5405099999999999
3,353,2,2,0.60517,0.55178,,-0.07543899999999999,0.49839999999999995,,,,,-1.0763,-0.76939,,-0.8361200000000001,,,-1.1164,-0.22224,,,,,,,-1.28985,,,-0.8227549999999999,-1.3032,-0.20221999999999996,-1.2231,-1.3966,-0.95622,-0.55587,,0.16477
2,555,1,1,-0.26070675,,0.338445,-0.75665,,,-0.45851,-0.5349566666666666,,,,-0.72225,,-0.4986499999999999,,,,-0.32091,,,,-0.8369200000000001,,-0.84839,0.0575049999999999,0.03456999999999996,1.0665666666666667,0.49325,-0.4470399999999999,,,,0.42445,,
