fov,cellID,rep,dbscan_ldp_nbr_allele,chr19-g38,chr19-g39,chr19-g40,chr19-g41,chr19-g42,chr19-g43,chr19-g44,chr19-g45,chr19-g46,chr19-g47,chr19-g48,chr19-g49,chr19-g50,chr19-g51,chr19-g52,chr19-g53,chr19-g54,chr19-g55,chr19-g56,chr19-g57,chr19-g58,chr19-g59,chr19-g60,chr19-g61,chr19-g62,chr19-g63,chr19-g64,chr19-g65,chr19-g66,chr19-g67,chr19-g68,chr19-g69,chr19-g70,chr19-g71,chr19-g72,chr19-g73,chr19-g74,chr19-g75,chr19-g76,chr19-g77,chr19-g78,chr19-g79,chr19-g80,chr19-g81,chr19-g82,chr19-g83,chr19-g84,chr19-g85,chr19-g86,chr19-g87,chr19-g88,chr19-g89,chr19-g90,chr19-g91,chr19-g92,chr19-g93,chr19-g94,chr19-g95,chr19-g96,chr19-g97
3,27,2,1,,,,,,,,,,,,,,,,,,,,1.5171,,,,,,,,,,0.56824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,215,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.61934,-0.47530333333333336,,,-1.1378,,,,,,,,,,,,,,,,,,,,,,
2,841,2,1,,1.4597,,,,3.1887,,,1.347715,,,,,,-0.61224,-0.29025,0.5637300000000001,,,,,,,1.5577,1.3057100000000001,1.5717,,1.0257,,,0.78773,,0.24173999999999998,,,,,0.64773,0.63373,,,,,,,,,,,,-0.71024,-0.4302399999999999,,0.2837416666666666,0.39574,-0.22725,0.0037449999999999983,0.556735,0.39574,0.21374
2,210,2,2,,,,,-1.0074,,,,-0.6159100000000001,,,,-0.20207,,-0.31392,,,,,,,,,1.80565,,,0.68155,1.1066,,,,,,,,,,,,,,,-0.5040600000000001,,0.94999,-0.80606,,,-0.30273,-0.414585,,,,,0.1111099999999999,1.1513,-0.15733,,,0.5697
2,603,2,1,0.10981933333333334,-0.75388,-0.803375,,-0.5908225,-0.25683000000000006,0.8430799999999999,,,-0.37151999999999996,,-0.30404,0.55967,-0.74939,-0.26355,,-0.00714,0.691248,,-0.13310033333333335,,0.26277,-0.47948,0.43821,-0.2568065,0.65413,-0.034132,-0.024009749999999976,0.350491,-0.18258133333333335,,1.37841,-0.39176,0.1683,1.1265,0.35724,1.2524333333333333,0.7047425,,,,,,,,,-0.56383,-0.4524899999999999,-0.34452499999999997,-0.81687,-0.7629033333333334,-0.08136349999999995,0.06033849999999999,,0.44498000000000004,0.28976,2.21961,1.1309866666666666,0.17279666666666668,0.67775675
2,566,1,3,,,,,,,,,,,,,,,-0.78487,,,0.038813,,-0.2232699999999999,,,-0.5727099999999999,,-0.085987,,,0.13865,,,0.088733,,,,,,,0.33833,,,-0.43543,,-0.3855099999999999,,-0.4728699999999999,,,,0.16985,-0.061030000000000015,-0.11095,0.23849,,,,0.1573715,,0.088733,-0.036067,
1,53,1,3,,,-1.5005,,-1.2065,,,,,,,,,,,,,,,,,,,,-1.268,-1.1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.186,,,,,-1.1723,-1.1176
3,157,2,4,,,-0.35079,,-0.73431,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.96349,1.5762,-1.1833,-0.5472265,-0.1169299999999999,,-0.6532399999999999,,0.6454375,0.99155,,,0.94009,,,,,,,,,-0.3040199999999999,,,0.014027,0.69688,,,-0.37885
0,620,2,2,,,,,,,,-0.026376,0.075957,,-0.59097,-0.5556800000000001,,,,0.044198,-0.132236,,,,,0.015969,-0.22398,-0.4215899999999999,,-0.29456,0.55233,,0.15006,-0.347485,-0.033433,,,-0.1251799999999999,-0.34396,-0.269855,,-0.16752,,,,,,,,,,0.31944,,,,,,-0.1745799999999999,,,,,0.2897944,1.0181
3,937,2,1,,,,,0.25196666666666667,-0.14257,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49328,-0.34715,,,0.697655,,,,,,,,,,,,,,,,,,,,,,,,
