fov,cellID,rep,dbscan_ldp_nbr_allele,chr6-g626,chr6-g627,chr6-g628,chr6-g629,chr6-g630,chr6-g631,chr6-g632,chr6-g633,chr6-g634,chr6-g635,chr6-g636,chr6-g637,chr6-g638,chr6-g639,chr6-g640,chr6-g641,chr6-g642,chr6-g643,chr6-g644,chr6-g645,chr6-g646,chr6-g647,chr6-g648,chr6-g649,chr6-g650,chr6-g651,chr6-g652,chr6-g653,chr6-g654,chr6-g655,chr6-g656,chr6-g657,chr6-g658,chr6-g659,chr6-g660,chr6-g661,chr6-g662,chr6-g663,chr6-g664,chr6-g665,chr6-g666,chr6-g667,chr6-g668,chr6-g669,chr6-g670,chr6-g671,chr6-g672,chr6-g673,chr6-g674,chr6-g675,chr6-g676,chr6-g677,chr6-g678,chr6-g679,chr6-g680
0,750,1,1,-0.13144,0.64549,0.257025,0.2570199999999999,-0.25056,0.14826,,,,,-0.25574,0.38133,-0.31272,-0.351565,,,,,,,,,,,,,-1.0482,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4473899999999999,,
1,53,1,3,,,-0.71902,,,,,,,,,,,,,,,,,-0.62068,,,,,,,-0.68084,,,,,,,,,-0.57902,,,,,,,,-0.58828,,,,,,,,,,-0.76415,-0.73407
2,770,2,1,-0.22059,-0.068332,,,,,,,,,-0.031546,-0.18141299999999996,-0.066288,-0.43313,-0.4872899999999999,-0.5342899999999999,,,,,,,,,,,,,,-0.42291,,,,,,,,,,,,,,,,,,,,,,,,,
1,194,1,1,,,,,,,,,0.5686466666666666,,,,,,1.393,,,,,1.20981,,,0.66694,0.5574749999999999,,-0.3830199999999999,,,,,-0.12835,,-0.32717499999999994,,,0.1620599999999999,,,,,,,,,0.7406625,0.9249525000000001,0.75332,0.8754333333333334,0.7652325,0.81885,1.565,0.586515,,,
2,244,2,3,,,,,,,,,,,,,-0.051605,,,,,-0.1119,,,,,,,,,,-0.33903,,,,-0.093814,,,,-0.057635,,,,,,,,,,,-0.4515899999999999,,,-0.40134,,,,,
3,455,2,1,,1.067,,,0.45276500000000003,,,,,,,,,,,,,,,,,,,,,-0.3246,-0.6077100000000001,-0.0750779999999999,,,-0.91001,-0.25261999999999996,-0.1182599999999999,-0.780455,,,,,,,,,,,,1.0046,,,,,,,,,0.887015
0,55,2,1,,-0.27189,,-0.2003149999999999,-0.01293099999999995,-0.2349,-0.261435,-0.12713,,,,,,,,,-0.049927,,,,,,,,,,-0.2349,,,,,,,,,,,,,,,,,,,-0.29119,,,,-0.091746,,,,,
2,792,2,1,-0.23635,,,-0.399845,,,-0.31879,,-0.41771,,,,,,,,-0.15942,-0.1099599999999999,0.86,,,1.0249,,,,,,-0.26108,,-0.16217,,,1.0881,1.1705,0.46707,1.1705,0.39288,,0.95892,,,,-0.26795,-0.16766,-0.0866005,0.15658,,,,,,,,,-0.20704699999999998
3,853,2,1,,0.6990449999999999,0.481635,,0.11729,1.0175,1.0297,-0.084799,,,0.007058,-0.39099,,,,0.68067,,,,,,,,,,,-0.18278,,,,,,,,,,,-0.8074049999999999,-0.026600000000000068,,0.8337700000000001,,,0.72966,-0.99419,,,0.11729,-0.33587500000000003,-0.4063,0.11729,-0.46447499999999997,,-0.65125,
0,620,2,1,0.390825,0.9247033333333333,0.71194,,-0.0012166666666666437,0.25095,,,,,,,,,,,,,,,,,,0.20761,,0.38491,-0.13912,-0.009096,,-0.9074150000000001,0.6745099999999999,0.6489,0.5504,0.34157,,0.64102,1.2281,-0.13912,,,,,-0.23368,,0.32581,,0.442045,,,,,,0.79074,0.8518000000000001,0.97987
0,164,1,2,-0.10137,,0.19666,-0.1055099999999999,-0.15104,0.097316,,,-0.17794,,-0.269,,,,,,,,,,,0.348775,,1.18044,1.4757,,,,,-0.072392,1.0648540000000002,,0.032123,0.41603,,,,1.3153000000000001,-0.19036050000000002,0.77822,1.148695,1.2542,1.08796,0.77408,,,,,,,,,0.5422800000000001,0.42638,
0,158,2,1,0.25095,,,0.17823,,0.06864200000000001,,,,,,,,,,,,,,,,-0.22838,,-0.0091989999999999,0.072739,,0.126,-0.23658,0.025625,,,,,,,,,-0.61963,-0.39020666666666665,,,,,,,,,0.3124099999999999,0.08554374999999997,,-0.1403,0.037916,,,
0,406,1,2,,1.1204,,,1.2907,1.3861,0.65717,,,0.39375,0.5845,,,,,,,,,,,,1.7335,,,,,,,-0.012725,1.2952499999999998,,0.80705,,,,1.377,,,0.58905,0.069025,0.44371,,0.45961,0.90015,0.614025,,,0.7820699999999999,0.39603,0.4141899999999999,0.5413600000000001,0.53455,,
