fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g177,chrX-g178,chrX-g179,chrX-g180,chrX-g181,chrX-g182,chrX-g183,chrX-g184,chrX-g185,chrX-g187,chrX-g188,chrX-g189,chrX-g190,chrX-g191,chrX-g192,chrX-g193,chrX-g194,chrX-g195,chrX-g196,chrX-g197,chrX-g198,chrX-g199,chrX-g200,chrX-g201,chrX-g202,chrX-g203,chrX-g204,chrX-g205,chrX-g206
1,144,1,2,,,,,0.64059,,,,,,,,,,,,,,,,,,,,,,,,
1,612,2,1,,,,-0.44432,,,,,,,,,-0.68755,,,-0.56593,,,,,-0.07080000000000003,,-0.58331,,,,,,
0,750,1,1,,,,1.4647999999999999,-0.1711079999999999,,,,,,,,,,,,,,,-0.0973059999999999,0.1733,,0.8648333333333333,1.2721,,,0.4357,0.9277,0.4603
2,172,2,3,,-0.43476,-0.43476,,,-0.34292999999999996,,,,,,,,,,,,1.2692,,,,,,,0.63658,,,,
1,718,1,1,,,0.12788,,-0.46963,,,,-0.091794,,,,,,,,,,,-0.32025,,,,0.96264,0.20257,,0.49693,,
0,89,2,1,,,-0.18608,,,-0.22838,-0.22044999999999995,-0.76251,1.173,,,-0.93702,-0.96875,-0.73078,-0.50867,-0.6250100000000001,-0.17373699999999995,,,,0.03425666666666668,,0.71295,-0.6250100000000001,,,1.9522066666666664,0.06379749999999992,
2,555,1,2,,,,0.929015,,0.97487,,,1.1583,,,,,,,,,,3.7614,1.8521,,2.8669,2.993066666666667,4.0595,4.03655,4.4264,3.3485,3.49185,2.18465
0,215,1,2,,-0.91459,,,-0.6553399999999999,-0.9001899999999999,-0.2736699999999999,-0.5401199999999999,-0.6553399999999999,,,-0.33849,-0.37809,-0.68415,,,-0.72016,,,,,,,,,,,,
0,750,1,2,,,0.4685,-0.080905,,,,,-0.57291,,,,,,,,,,1.8912,1.8092,,,,,2.9859,,,,
3,718,2,1,,,,-0.7008,,,,,,,,,,,,,,,-1.044,-1.3442,-1.1726,,,,,,,,
2,603,2,1,,,,,-0.80338,,-0.62793,-1.0193,-0.80338,,,,,,,,,,,,,,0.54618,,,,,,
3,157,2,1,,,,0.163695,-0.31337,,-0.5503466666666667,,,,,,-0.69689,,,-0.332075,,,,,0.21047,1.8942,-0.042098,0.21047,-0.03976999999999997,,-0.3008956666666667,,
1,94,1,2,,0.6805,,1.0177,,1.1755,,,,,,,,,,,,,,,1.2042,0.52268,1.466,1.9072,,,,,1.3010000000000002
