fov,cellID,rep,dbscan_ldp_nbr_allele,chr4-g581,chr4-g582,chr4-g583,chr4-g584,chr4-g585,chr4-g586,chr4-g587,chr4-g588,chr4-g589,chr4-g590,chr4-g591,chr4-g592,chr4-g593,chr4-g594,chr4-g595,chr4-g596,chr4-g597,chr4-g598,chr4-g599,chr4-g600,chr4-g601,chr4-g602,chr4-g603,chr4-g604,chr4-g605,chr4-g606,chr4-g607,chr4-g608,chr4-g609,chr4-g610,chr4-g611,chr4-g612,chr4-g613,chr4-g614,chr4-g615,chr4-g616,chr4-g617,chr4-g618,chr4-g619,chr4-g620,chr4-g621,chr4-g622,chr4-g623,chr4-g624,chr4-g625,chr4-g626,chr4-g627,chr4-g628,chr4-g629,chr4-g630,chr4-g631,chr4-g632,chr4-g633,chr4-g634,chr4-g635,chr4-g636,chr4-g637,chr4-g638
2,244,2,2,,,,-1.1283,-0.87056,,,,,,,,,,,,,,,,,,,,,,,,-0.83834,,,,,,,,,,,,,,,-1.0853,,-0.85982,,,,,,-1.2142,,-0.88129,,,,
0,37,1,1,,,,-0.6755,-0.90289,-0.7332,,0.16958,,,,,,,,,,,,,,,,,,,,,,,,,-1.0794,,,,,,,,,,,,,,,,,,,,,,,,,
3,455,2,1,,,0.15174,0.29361,-0.35029,0.086253,,,,,,,,,-0.69953,-0.53582,-0.53582,,-0.47579499999999997,-1.0051,,-1.0924,,0.50097,,,,,,,1.2977,,,,,,,-0.40486,-0.17567,,-0.7650100000000001,,,0.746505,,-0.55765,-0.48126,0.37001,-0.49217,-0.16476,,,-0.73227,,,,,
1,53,1,1,,,,,,,,,,,,,,,-1.2202,-1.186,,,,,,,-1.1723,,,-0.92619,,,,,-1.3433,,-0.81679,-1.0698,,,,,,,,,,,,-1.2372999999999998,-1.1928,-1.1928,,,,,,,,,,
1,98,1,4,,,,,,,,,,,,,,,-0.63754,,,,,,,,,,,,,,-0.91443,,,,,,,,-1.2481,,,,,,,,,,,,,,,,,-1.0244575,,,,
3,741,2,2,,0.52572,0.19783,-0.54974,-0.4317,-0.32678,,,,-0.37924,,-0.2612,-0.58908,-0.49728,,-0.70712,,,,-0.68089,,,-0.44482,-0.36612,-0.22185500000000005,,,,,0.21095,,-0.32678,,,-0.1169299999999999,0.079797,-0.26994333333333326,,-0.28743499999999994,,,,0.60441,-0.05135733333333334,,,,0.17815999999999999,-0.2349699999999999,0.66999,,,,,,-0.01201,,
2,210,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3094,,-1.1081,,,-0.86198,,,,,,,,,,,,,-0.57117,,-0.57117,-0.34747,,,,,,,
1,144,1,3,,,0.37313999999999997,0.1834299999999999,,,,,,,,,,,,-0.40435,0.21142,-0.19598066666666666,,,1.0045,-0.119787,,,,0.08547,,,,,,,,,,,-0.6469199999999999,0.2114199999999999,0.37003,,-0.087132,,-0.087132,,,,,,,,,,,,,,,-1.0294
1,144,1,2,,,,,,,0.30472,0.23008,,,,,,,,,-0.9548,-0.52563,,-0.9548,,,,-1.1694,,,,,,,0.099464,,,0.010830000000000006,,,,,,-0.47898,,,,,,2.12869,,,5.8093,4.1019,,1.9934,2.5905,,,3.76145,3.3836,
0,26,1,1,-1.0123,-1.0123,,-0.7572399999999999,-0.36576,,,1.995,,1.56642,,,-0.069188,0.04054549999999999,,,,-1.02418,-1.1369,,,,,,,,,,,,,-0.87587,-0.4191399999999999,,-0.93518,-0.7661150000000001,,-0.79283,-0.9608733333333334,-1.0716,,,-0.864,,,-0.508115,,,,,1.02219,,,,-0.11664,,-0.54074,-0.3440133333333333
0,55,2,1,,,,,,-0.52561,-0.4321899999999999,,-0.64239,-0.66574,-0.64239,,,-0.57816,,0.15168,0.011553,0.48449,-0.289145,-0.2161563333333333,-0.5314533333333332,,-0.47306,,,,-0.4789,,,,-0.7942,,,,,,,,,,-0.54313,,-0.66574,,-0.51977,-0.40884,,-0.30958,-0.46723,-0.4847399999999999,,-0.36213,,,-0.8759399999999999,,-0.8584200000000001,-0.55773
1,94,1,4,,,,,-1.1129,,,,,,,,,,-0.2664,,-0.2341225,,-0.1301045,-0.39074300000000006,2.0004,,,,,,-0.639425,,-0.58921,,,,,,,,,,,,,,,,,,-0.83311,-0.58562,,,,,,-0.8402799999999999,-0.6896399999999999,,,
3,157,2,2,-0.75302,-0.83721,,,,,,,,,,,,,-0.70625,,-0.73431,,-0.70625,,-0.48175,,-0.032744,,,,-0.60335,0.12628,,,-0.60335,,-0.63141,-0.70625,,,,,,,,,,,,-0.94946,,,,-0.014036,,,,,,,,
1,36,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,-0.74951,,,-0.4853,,,,,,,,,,,,,,,,,,,,0.57152,,,,,,,,,
1,663,1,1,,-0.015361,,,,,,1.4596,,,,,,,,,1.382,0.071972,1.6149,,,,,,,,,,,0.80945,,,,1.1588,,,2.2747,,,,,,,,,1.5663,-0.35499,-0.71403,,-0.54906,-0.68491,1.3432,,,,,,1.1685
1,713,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.93599,0.067283,,,,,,,0.355105,,0.6534,,,,,,,,,,,,,,,,,,,,,-0.649655,-0.6653600000000001
0,89,2,2,,,,,,,,,,,,,,,,,-0.7395900000000001,,,,,,,,,,,,,,,-0.51395,,,,,,,,,,,,,,,,,,,,,,,,,,
1,81,1,2,,,-0.96735,,,,,,,,,,,,,,,,,,,0.61173,,-0.6834250000000001,,-0.66398,-0.59008,-0.5473,,,,-1.2007,,,,,-1.5119,,,,,,,,,,-0.0105659999999999,-0.46173,,,-1.2707,0.21502,,,,,,-1.403
1,942,2,1,,0.33703999999999995,0.93684,,,,,,,,,,,,,,,,0.044226,,,,-0.26748,,,,2.9629,2.9629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,584,2,1,,,,,,,,0.25097733333333333,-0.11263,-0.34362,0.3108599999999999,0.015704,,-0.21529,,-0.95961,,,,,,,-0.6302266666666667,-0.6730033333333334,,,-0.66445,,,-0.13829360000000002,,,0.0542029999999999,,,,-0.58745,-0.061295333333333334,,1.0552,0.7471899999999999,,-0.65162,,0.82419,0.6274133333333333,0.6188600000000001,,0.63811,,-0.074128,0.38786,-0.62595,-0.69011,-0.57462,,-0.561785,
0,99,2,2,-0.21641,-0.23708,-0.79125,,-0.79125,-0.81606,-0.80779,,,,,,0.06481299999999995,,0.10203,,-0.6341,-0.6341,-0.38183049999999996,,,,,,-0.88223,,-0.8326100000000001,-0.5486300000000001,1.119375,-0.48522,-0.749895,-0.55966,,,-0.5431199999999999,0.33363,0.43288,-0.31979500000000005,,-0.27844,0.1682,-0.224679,0.20956,0.23851,,0.044135,0.01105,0.40807,0.43288,,0.50732,-0.12129,,0.97877,,,1.1525,0.3832588
1,831,1,1,,,-0.11264,,,,,,,,,,-0.39871,,,,,,,,,,-0.57239,,,,,,-0.67456,,,,,,,-0.67456,,,,,,,,,,,,,,,,,-0.454905,,,,-0.2454599999999999,
2,117,1,1,-0.75446,,-1.0883,-1.2344,-1.2553,,-0.9422633333333333,-1.057035,0.045446666666666656,,-1.1614,-1.0101,-0.23278000000000004,-1.2135,-1.0988,-1.1544,-1.1092000000000002,,,,,,1.4783,,,,0.98795,,-1.1092,,-1.2135,-1.18225,-1.1301,,,,,,-1.0362,-0.84836,,,,-1.1370333333333333,-1.1718,-1.01878,-0.9579200000000001,-0.9161950000000001,,-1.0752925,-0.62578,-0.87445,-0.75446,,,,-0.9109666666666666,
2,80,2,1,0.2202599999999999,-0.35240725,-0.1489599999999999,,0.09970450000000006,,-0.39761499999999994,-0.3298,0.9361,-0.5734366666666666,,,-0.096211,,-0.05100049999999995,-0.14142,-0.073604,-0.318495,0.46892,0.55934,-0.092444,-0.26575499999999996,-0.25444500000000003,-0.7065600000000001,,-3.0123,,0.32764000000000004,-0.24691,-0.4899215,-0.28709666666666667,0.4814756666666667,-0.48552666666666666,0.06955999999999996,,-0.37501,,-0.37501,-0.3524,-0.43528999999999995,-0.55585,-1.802915,,-0.58599,0.5241733333333333,-0.6713906666666668,0.1449133333333334,-1.1164660000000002,-1.284875,-0.167795,0.1449125,-0.09118833333333332,,-0.5282233333333334,,,,
3,718,2,2,,-0.5435300000000001,,0.14278,,,1.1007,0.8147850000000001,-0.2289699999999999,,,-0.65791,,,,-0.858085,-0.7722899999999999,,0.439475,0.8433799999999999,1.2008,,,,,2.848675,0.12848,1.0865,2.05396,1.4153,,,0.30006,,0.914855,,,-0.8342533333333333,-1.151185,-1.051085,-1.1869,,-1.2155,,,-0.4327175,,,,-0.37195,,,0.45734,-0.4434399999999999,-0.67221,,,
0,89,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16492,,,,,,,,,,,,,,,,-0.84183,,,,,,,,,,,-0.9,,,
2,711,2,1,-1.1081,,-1.0194533333333333,-0.7357566666666666,,,,,,,-1.0416,,,,-0.6160699999999999,-0.25038499999999997,-0.80225,,,-0.57618,,,-0.72246,,-0.82885,-0.9263666666666666,-0.52299,,,,,,,,-0.8820399999999999,,,,-0.32352,-0.42326,,,,,,-0.64267,-1.0017,-0.6116383333333334,0.1685065,0.10866499999999998,,,-0.60278,,,,,0.168507
2,198,2,1,,-0.44016,-0.13434,,,,0.43175,,0.26908,,,,,,0.09014499999999998,,0.41223,,,,-0.39461,,-0.2449599999999999,,,,-0.25146,-0.33605,,,,,,,,,,,-0.284,,,,,,-0.010711,-0.329545,,,0.0933995,,0.13677466666666668,0.5163399999999999,-0.4304,,-0.72646,-0.3881,-0.73947,-0.43690500000000004
1,142,2,1,-0.0843185,0.556045,0.36354,,-0.6669266666666666,1.6227,0.52207,1.25248,-0.27286,-0.25927,-0.40195000000000003,-0.43592,-0.055442,-0.3476,,,0.50848,,-0.4631,-0.007883,-0.31701999999999997,,0.1008299999999999,,-0.14784599999999998,0.86291,0.5356524444444444,1.0350338333333333,0.323341,-0.12339,0.30690333333333336,,,0.07364649999999998,-0.10979666666666665,-0.0010889999999999823,-0.23889,0.335225,,1.0435225,,0.10082674999999998,,,-0.51745,-0.55142,-0.048648,-1.0451566666666667,0.5968100000000001,-0.16415,,0.14159,-0.3000333333333333,-0.32042,-0.30004,-0.632955,,-0.43592
3,62,2,1,,,-0.34578,,-0.024469,0.1650185,0.19798,,,0.56048,-0.5929399999999999,-0.55175,,,,,-0.23044,-0.2098385,-0.23044,,-0.6972933333333334,,,,-0.49407,-0.7741866666666667,,-0.64649,-0.7741899999999999,-0.57646,-0.7165199999999999,-0.5599850000000001,,,-0.24856340000000002,-0.457,,,,0.2886,,,0.56872,,,,,,,,,,,,,,,
3,718,2,1,,,0.25716,0.14993,0.48593,0.1570755,,,0.27146,0.60032,,,,,0.0712899999999999,,,,,,,1.4296,0.57172,2.0301,,0.7861899999999999,,,,0.9613425,0.8338333333333333,,,0.31436,,,,-0.57212,,,-0.67221,,-0.65791,,-0.07169,0.21427000000000002,-0.0002,-0.14318,0.285759,-0.35765,,-0.10029,,,,,,
2,636,2,1,2.6653000000000002,2.0237933333333333,1.5238000000000003,,-0.091307,0.62191,,0.74643,0.80304,,0.3841699999999999,0.25964,,0.28228,1.84172975,,0.33888,,,-0.015835666666666665,0.55398,0.763415,0.66719,1.0936000000000001,1.1049466666666665,1.3011333333333333,0.48228,0.81437,0.16227719999999998,0.8936,0.27096,1.4936150000000001,0.921905,-0.5894199999999999,1.0408,-0.2498,0.2596365,0.52002,0.6407666666666666,0.29076900000000006,-0.11394799999999995,-0.034703,0.15209999999999996,,-0.6347,,,-0.07998666666666669,0.14643,0.26718566666666665,-0.0007433333333332995,-0.2498,0.338885,0.7520895000000001,,,0.9785300000000001,1.0974066666666666
2,18,1,1,0.84381,1.1172,1.1084,,,0.57044,1.2318,,,,,,-0.011572,-0.2673,0.18243,0.18243,,1.6286,1.6286,2.7486,1.064265,1.4964,,,0.12952,,,,,,0.61453,0.41171,1.8579166666666669,0.275025,0.12658099999999997,,0.12952,,,,,,,-0.011572,,-0.046845,,,,,,-0.68176,,-0.35549,-0.7346699999999999,0.226525,,-0.5759449999999999
0,610,2,1,-0.902105,,-0.32746,-0.07361666666666666,-0.3366933333333333,-0.29285,,,,,,,,,,,,,,,,,,-0.74285,,,-0.80516,,-0.7843899999999999,,-0.6390100000000001,,,,,,,-0.68747,-0.8282400000000001,,-0.83747,,,,-0.54901,,,-1.1929,,-1.2413,1.3341,,,,,,,
0,620,2,1,0.8558049999999999,,0.9263633333333333,0.9193199999999999,0.886842,0.9969650000000001,,-0.2381,,,-0.2381,,,,,0.59467,,0.77818,,0.8734600000000001,,,,1.6815,2.1614,1.9285333333333334,1.2905200000000001,,1.0675033333333335,2.2602,,1.3357,0.4747,0.34413499999999997,0.566445,0.58762,,,,,,,,,,,,0.2723866666666666,-0.16047,,,,1.6603,1.4486,1.6603,,,
0,750,1,1,-0.21211,,,,,,,,,,,,,,,,,,,,,,-0.91731,,,,,,,,,-0.71231,-0.5483100000000001,,,-0.6057100000000001,-0.41711,-0.80661,-0.81891,,,-0.96241,-0.6221099999999999,-0.13831,,,,-0.69591,-0.56471,,,,,-0.7287100000000001,,,-0.44171,-0.76151
1,81,1,1,,1.07068,1.2107,1.3274,1.1485,0.26168849999999994,0.99289,0.0283269999999999,0.0283269999999999,,-0.48507,,,,,0.3317,,0.2539099999999999,,,,0.6428235000000001,-0.45784,-0.60953,,-0.74954,,,,-0.2776353333333333,-0.23614999999999992,-0.3606095,-0.50062,-0.7689900000000001,-0.51035,-0.072796,-0.8389949999999999,0.24613033333333334,0.635045,,-0.002787,0.3783666666666667,1.0396,0.6234200000000001,,-0.71065,,,,0.3744779999999999,-0.36061,-0.70287,,,0.9073475,,,
1,98,1,3,-0.4919989999999999,-0.90023,-1.0918999999999999,-0.33226,,,,-0.360655,,,,,,,0.356415,-0.14411500000000002,-0.68369,,,,,,-0.8221299999999999,,,,,,-0.3038599999999999,,,,,,,,,,-0.81503,-0.58074,-0.112163,,,,-1.0351,0.12922,-0.7156399999999999,,,,-0.67304,,,,0.2428199999999999,0.6475,0.45581,
2,210,2,2,,,-0.36984,,,,,,,,-0.36984,,,-0.67743,0.8772850000000001,,,-0.21325,,0.22855599999999998,-0.051071,0.16704,,-0.86198,-0.51525,0.2565199999999999,-0.20207,1.2408,-1.11925,-0.29526666666666673,-0.95147,1.2744,-0.7986033333333333,-0.57117,-0.3306935,,1.7218,0.7412199999999999,2.281,0.6741,,1.3974,0.832565,1.5764,,1.4421400000000002,0.390739,2.0126,0.5093,0.894055,1.5428,,1.7496999999999998,-0.49288,,-0.88435,,-0.89554
0,352,1,1,-0.35495666666666664,,,-0.27489,-0.49326,,,-0.40591,,,,0.10362,,,-0.1839015,,,,0.15094000000000002,0.51853,,0.50397,-0.25547666666666663,0.12546,0.15020000000000008,0.32685000000000003,0.09391866666666666,0.27540780000000004,0.5216514285714285,0.2437435,0.43482,0.33655,0.383865,,-0.049238,0.98439,1.3411,0.30744,-0.35860000000000003,-0.1256685,0.34139,-0.8353799999999999,,,2.3747,0.38509333333333334,,,-0.41804366666666665,-0.3768,-0.89361,-1.1484,-0.788065,-0.056520000000000035,-0.26761,,-0.18026,
2,569,2,1,,-0.545478,-0.31727949999999994,-0.8801950000000001,-0.38117999999999996,,-0.247297,,-0.6854600000000001,,,,-1.0384,,,,,-0.1194945,,-0.484635,,,-0.90454,-0.271635,,-0.74632,-0.8193480000000001,-0.13775,-0.04443933333333327,0.30041333333333337,-0.740235,-0.10124,-0.27894,-0.247295,,,-0.38118,0.4343,,-0.78283,,-0.7625366666666666,-0.12558000000000002,,-0.886285,,,,-0.843685,-0.91671,-1.044515,,-0.916715,-0.6246,,,-0.880185,-0.849775
1,77,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46868,,,,,,,,,,,,,-0.1876799999999999,-0.68283,-0.44101,,,,,,,,,,,,,0.27293,-0.2107099999999999,0.7105
1,53,1,2,-1.18945,,,-0.8008433333333334,-0.43391,-0.33819,-0.64587225,,-1.104,-0.092058,-0.33819,-0.74159,,0.15408,0.11989,-0.46126,-0.5797733333333334,-0.65954,-0.683465,0.07887,,-0.7621,-0.526215,,,-0.66638,,-0.7621,,,,-0.47494,-0.4681,,0.18143,,-0.6902900000000001,,-0.20829,-0.53647,,1.7471,,-0.7997050000000001,0.71472,0.59849,0.913,1.0770905000000002,,0.26347,,,0.9677,,0.30449,,-0.1057299999999999,
2,516,2,2,,,,,,,,-0.3573915,,-0.87572,,-1.1673,-1.2429,,,,,,,,-1.0701,,,,-1.1457,-1.0917,-1.0971,,,-1.3724,-1.1457,-1.1133,,,,-1.5128,-1.1457,,-0.346595,-0.53017,,0.18253,0.2257199999999999,,-0.43298,,-0.335795,-0.42218,,,,,,,,,,
2,648,2,1,1.46612,0.77445,0.31769,-0.0999169999999999,0.683095,0.5656399999999999,,,,,,,-0.8633549999999999,-0.8959799999999999,,,,,,,,,,-0.32177,,0.21329,0.29419819999999997,0.26549,0.007749999999999979,0.50039,1.0615,,0.931025,,,-0.71328,-0.45227,,,-0.30872,-0.29567,,-0.4653199999999999,,,,,0.31769,,-0.057502999999999915,-0.53057,,,0.16109,,,,
2,770,2,1,-0.26411333333333337,-0.56997,-0.8337700000000001,0.25584,,0.32082999999999995,,-0.46215399999999995,1.0816,0.6744749999999999,,,,0.88093,-0.61585,,,,-0.37499,,-0.036635,,,,,,-0.56997,-1.0746,-0.8624400000000001,,-0.78789,,,,-0.6082,,,-0.30999666666666664,,,,,,,-0.89112,-0.60438,1.2881,-0.06817750000000002,0.01498250000000001,0.15261375,,,,,,,,
2,591,2,1,0.42086,,-0.13602,-0.41446500000000003,,,-0.12442,-0.75092,,-0.93655,-0.90174,,,,,-0.21723499999999996,0.032204500000000004,-0.37966,,,-0.42607,,,,,-0.99456,0.20043,-0.35065775,,,,,,-0.6001,,,,-0.29845,-0.020006,-0.4028655,-0.066413,-0.132156,-0.29845,,0.13082,-0.27138,,-0.7045100000000001,-0.43767,-0.85534,,-0.55369,-0.08188666666666666,,,-0.98296,,0.2777633333333333
0,613,1,1,0.89018,,,-0.012530000000000055,-0.004614,-0.5351600000000001,0.003304,,0.30421,0.597195,,-0.004614,,0.40715,0.2646199999999999,,,1.258395,,,,,0.2567,,,,,-0.5114,,0.41507,0.090408,0.41507,,,0.6288699999999999,,,,0.66846,,0.61699,-0.6381,,-0.40054,-0.47181,,0.2646199999999999,-0.17882,,-0.218415,0.10624549999999999,-0.012539999999999996,1.1911,2.3314,,2.3709,,
2,730,2,1,,-0.59906,-0.000241,-0.38131,-0.4221399999999999,-0.10912,-0.095508,-1.402,,,,-1.2931,,,,,,0.34,,0.7210650000000001,,,0.7346699999999999,,,-0.53101,,-0.6217433333333333,-0.422135,-0.7215433333333333,-0.503795,,-0.28604,,0.040587,-0.59906,-0.85764,,,-0.54916,-0.95291,-0.87125,,,,-1.0073,,,-0.8803233333333335,,-1.021,,,,,,,
0,164,1,1,,0.19177,,-0.030085,0.19177,,,,,,,,,-0.381695,,1.121,0.714995,,,0.75267,,,,,,0.018754333333333335,0.3201333333333333,0.11642,0.38431499999999996,0.9703470000000001,1.8996,0.63545,0.42618,,,,,,,,-0.5323800000000001,,,,,0.3089699999999999,1.2131,,0.5936100000000001,,,,,,,,,
0,648,2,1,,,,,,,,2.4734,2.3407,1.44655,,,0.36379,0.838805,-0.2509305,0.314893,0.21476666666666666,0.22408,0.13606379999999998,0.19613849999999994,,-0.10424,,0.36379,,,,,-0.81675,,,,0.28695,0.486035,,0.2520199999999999,,,,,,,,,,,-0.48844,,-0.39064,,-0.48844,-0.5815766666666666,-0.1217,-0.57925,-0.418585,-0.34873,-0.54432,
2,584,2,2,,,-0.22812,-0.6323650000000001,-0.89544,,-0.311535,,,,,,-0.70295,,,,-0.36929,-0.4847899999999999,,,,,,,-1.0238,-1.0493999999999999,-1.0623,-1.0109,,,,-0.8697799999999999,,,-1.04945,0.028537,,-0.79278,,,,,,,,,,,,,,,,,,,,
2,45,2,1,,-0.062605,0.14487300000000006,,-0.077079,,,,,,,,,,,,,,,,,,,-0.18323,,,,,-0.2942099999999999,,,,,,,,,,,,,,,,,-0.3617599999999999,,,,-2.1519,,,0.024248,-0.038478,,,,
1,194,1,1,,0.57467,1.2294966666666667,,,1.7350500000000002,,1.5183666666666669,0.5233126666666666,0.11244,,1.1813,,,,,0.44948,,,,,,,,,0.3917,,-0.0608929999999999,-0.0608929999999999,,0.882835,0.073923,-0.16682,0.02095899999999995,,,,,1.1741175,0.175037,0.093183,,0.059479000000000004,0.41818599999999995,0.064294,2.6451,,,2.6643,,,0.71912,,,,,,
